Epoch: 2 [13500/60000(22.5%)]	Loss: 0.075666	Accuracy:99.00%
Epoch: 2 [14000/60000(23.3%)]	Loss: 0.000872	Accuracy:98.40%
Epoch: 2 [14500/60000(24.2%)]	Loss: 0.002946	Accuracy:98.00%
Epoch: 2 [15000/60000(25.0%)]	Loss: 0.013914	Accuracy:98.40%
Epoch: 2 [15500/60000(25.8%)]	Loss: 0.142438	Accuracy:98.00%
Epoch: 2 [16000/60000(26.7%)]	Loss: 0.003675	Accuracy:97.40%
Epoch: 2 [16500/60000(27.5%)]	Loss: 0.077905	Accuracy:96.60%
Epoch: 2 [17000/60000(28.3%)]	Loss: 0.187065	Accuracy:98.40%
Epoch: 2 [17500/60000(29.2%)]	Loss: 0.252386	Accuracy:97.80%
Epoch: 2 [18000/60000(30.0%)]	Loss: 0.178039	Accuracy:98.00%
Epoch: 2 [18500/60000(30.8%)]	Loss: 0.000220	Accuracy:98.40%
Epoch: 2 [19000/60000(31.7%)]	Loss: 0.011042	Accuracy:97.80%
Epoch: 2 [19500/60000(32.5%)]	Loss: 0.013116	Accuracy:97.40%
Epoch: 2 [20000/60000(33.3%)]	Loss: 0.000712	Accuracy:98.80%
Epoch: 2 [20500/60000(34.2%)]	Loss: 0.038799	Accuracy:97.40%
Epoch: 2 [21000/60000(35.0%)]	Loss: 0.156383	Accuracy:97.60%
Epoch: 2 [21500/60000(35.8%)]	Loss: 0.000955	Accuracy:98.60%
Epoch: 2 [22000/60000(36.7%)]	Loss: 0.006129	Accuracy:98.80%
Epoch: 2 [22500/60000(37.5%)]	Loss: 0.013736	Accuracy:99.20%
Epoch: 2 [23000/60000(38.3%)]	Loss: 0.087966	Accuracy:98.00%
Epoch: 2 [23500/60000(39.2%)]	Loss: 0.022768	Accuracy:98.40%
Epoch: 2 [24000/60000(40.0%)]	Loss: 0.008056	Accuracy:98.00%
Epoch: 2 [24500/60000(40.8%)]	Loss: 0.002870	Accuracy:98.60%
Epoch: 2 [25000/60000(41.7%)]	Loss: 0.045555	Accuracy:98.20%
Epoch: 2 [25500/60000(42.5%)]	Loss: 0.001025	Accuracy:98.80%
Epoch: 2 [26000/60000(43.3%)]	Loss: 0.001147	Accuracy:97.80%
Epoch: 2 [26500/60000(44.2%)]	Loss: 0.011808	Accuracy:98.60%
Epoch: 2 [27000/60000(45.0%)]	Loss: 0.009999	Accuracy:97.60%
Epoch: 2 [27500/60000(45.8%)]	Loss: 0.081565	Accuracy:97.60%
Epoch: 2 [28000/60000(46.7%)]	Loss: 0.001672	Accuracy:98.40%
Epoch: 2 [28500/60000(47.5%)]	Loss: 0.014918	Accuracy:98.00%
